№ п.п.,Адрес,Год постройки,Материал крыши,Материал стен,Износ  дома в процентах,Число этажей,Количество подъездов,Количество лифтов,Количество систем ДУ и ППА,Количество мусоропроводов,Количество газовых плит,Количество электроплит,Количество квартир,Площадь жилая,Площадь нежилая,Площадь лестничных клеток,Площадь крыши,Площадь подвалов ,Площадь чердака
196,"Хабаровская ул., д.3",1976.0,Мягкая,панельный,24.0,9.0,4.0,4.0,0.0,4.0,142.0,0.0,142.0,6947.6,112.9,807.0,1210.0,1021.0,0.0
197,"Хабаровская ул., д.5",1979.0,Мягкая,панельный,15.0,9.0,6.0,6.0,0.0,6.0,214.0,0.0,215.0,10342.2,0.0,1242.0,1712.0,1543.0,1543.0
198,"Хабаровская ул., д.6, к.2",1980.0,Мягкая,панельный,16.0,9.0,4.0,4.0,0.0,4.0,0.0,144.0,144.0,7177.0,0.0,731.0,1349.0,1080.0,1080.0
199,"Хабаровская ул., д.7/50",1973.0,Мягкая,блочный,34.0,14.0,1.0,2.0,1.0,1.0,93.0,0.0,93.0,4034.1,1401.9,584.0,1035.0,421.0,540.0
200,"Хабаровская ул., д.8",1978.0,Мягкая,панельный,18.0,12.0,8.0,16.0,8.0,8.0,0.0,376.0,376.0,17104.0,2541.5,3050.0,2496.0,1012.0,1012.0
201,"Хабаровская ул., д.9",1971.0,Мягкая,кирпич,24.0,9.0,2.0,4.0,0.0,4.0,319.0,0.0,320.0,8729.4,1683.2,2002.0,2086.0,1989.0,1989.0
202,"Хабаровская ул., д.10/30",1980.0,Мягкая,панельный,25.0,12.0,8.0,16.0,8.0,8.0,0.0,381.0,381.0,17594.6,660.1,2773.0,2496.0,1008.0,1008.0
203,"Хабаровская ул., д.11/28",1969.0,Мягкая,кирпич,36.0,9.0,4.0,4.0,0.0,4.0,144.0,0.0,144.0,6450.1,0.0,734.0,1175.0,971.0,1109.0
204,"Хабаровская ул., д.12/23",1974.0,Мягкая,панельный,19.0,9.0,12.0,12.0,0.0,12.0,384.0,0.0,384.0,19215.38,5676.5,2348.0,6739.0,5752.0,5752.0
205,"Хабаровская ул., д.14, к.1",1977.0,Мягкая,блочный,29.0,16.0,1.0,2.0,1.0,1.0,0.0,106.0,106.0,5005.1,701.3,952.0,1113.0,489.0,489.0
206,"Хабаровская ул., д.16",1976.0,Мягкая,блочный,23.0,16.0,1.0,2.0,1.0,1.0,0.0,109.0,109.0,5183.7,342.5,939.0,885.0,526.0,526.0
207,"Хабаровская ул., д.18, к.1",1973.0,Мягкая,панельный,24.0,9.0,8.0,8.0,0.0,8.0,284.0,0.0,287.0,14197.4,273.7,1545.0,2348.0,2026.0,2026.0
208,"Хабаровская ул., д.19, к.1",1970.0,Мягкая,блочный,20.0,9.0,4.0,4.0,0.0,4.0,142.0,0.0,143.0,7104.9,64.6,827.0,1161.0,1055.0,1055.0
209,"Хабаровская ул., д.19, к.3",1970.0,Мягкая,блочный,20.0,9.0,4.0,4.0,0.0,4.0,144.0,0.0,144.0,7207.9,0.0,816.0,1161.0,1055.0,1055.0
210,"Хабаровская ул., д.20",1972.0,Мягкая,панельный,29.0,9.0,4.0,4.0,0.0,4.0,144.0,0.0,144.0,7143.0,0.0,778.0,1161.0,1055.0,1055.0
211,"Хабаровская ул., д.21",1970.0,Мягкая,панельный,22.0,9.0,6.0,6.0,0.0,6.0,209.0,0.0,212.0,10459.96,172.6,959.0,1881.0,1632.0,1632.0
212,"Хабаровская ул., д.22, к.1",1972.0,Мягкая,панельный,29.0,9.0,4.0,4.0,0.0,4.0,144.0,0.0,144.0,7138.9,0.0,792.0,1156.0,1055.0,1055.0
213,"Хабаровская ул., д.22, к.3",1973.0,Мягкая,панельный,29.0,9.0,4.0,4.0,0.0,4.0,143.0,0.0,143.0,7190.9,0.0,780.0,1142.0,1021.0,1021.0
214,"Хабаровская ул., д.23, к.3",1970.0,Мягкая,блочный,20.0,9.0,4.0,4.0,0.0,4.0,144.0,0.0,144.0,7220.3,0.0,811.0,1167.0,1061.0,1061.0
215,"Хабаровская ул., д.24",1972.0,Мягкая,панельный,25.0,9.0,4.0,4.0,0.0,4.0,139.0,0.0,139.0,6432.82,245.0,670.2,1154.0,1154.0,1154.0
216,"Хабаровская ул., д.25",1971.0,Мягкая,панельный,16.0,9.0,6.0,6.0,0.0,6.0,215.0,0.0,215.0,10668.2,0.0,1087.0,1957.0,1624.0,1624.0
217,"Хабаровская ул., д.27",1973.0,Мягкая,панельный,17.0,9.0,4.0,4.0,0.0,4.0,142.0,0.0,142.0,6130.8,0.0,796.0,1009.0,917.0,917.0
218,"Хабаровская ул., д.29/25",1990.0,Мягкая,панельный,14.0,14.0,2.0,4.0,2.0,2.0,0.0,110.0,110.0,4970.7,39.4,755.3,619.0,496.0,496.0
219,"Черницынский пр., д.4",1967.0,Мягкая,кирпич,26.0,9.0,4.0,4.0,0.0,4.0,144.0,0.0,144.0,6187.7,0.0,832.0,1066.0,969.0,969.0
220,"Черницынский пр., д.6, к.1",1968.0,Мягкая,кирпич,28.0,9.0,5.0,5.0,0.0,5.0,180.0,0.0,180.0,7865.2,0.0,967.0,1377.0,1229.0,1229.0
221,"Черницынский пр., д.6, к.2",1968.0,Мягкая,блочный,29.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3587.7,0.0,500.0,466.0,422.0,422.0
222,"Черницынский пр., д.8",1969.0,Мягкая,кирпич,26.0,9.0,5.0,5.0,0.0,5.0,180.0,0.0,180.0,7905.1,0.0,966.0,1360.0,1236.0,1236.0
223,"Черницынский пр., д.8 стр.1",1969.0,Мягкая,панельный,22.0,3.0,3.0,0.0,0.0,0.0,0.0,34.0,34.0,1950.4,0.0,109.0,1023.0,0.0,0.0
224,"Черницынский пр., д.10, к.1",1968.0,Мягкая,блочный,34.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3639.8,0.0,503.0,482.0,423.4,423.4
225,"Черницынский пр., д.10, к.2",1969.0,Мягкая,кирпич,28.0,9.0,8.0,8.0,0.0,8.0,287.0,0.0,287.0,12350.1,0.0,1726.0,2146.0,1947.0,1947.0
226,"Черницынский пр., д.12, к.1",1970.0,Мягкая,блочный,39.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3625.1,0.0,507.0,498.0,428.0,428.0
227,"Чусовская ул., д.2",1970.0,Мягкая,панельный,26.0,9.0,7.0,7.0,0.0,7.0,251.0,0.0,251.0,12612.87,560.5,1590.0,2976.0,1843.3,0.0
228,"Чусовская ул., д.4, к.1",1966.0,Мягкая,панельный,20.0,5.0,6.0,0.0,0.0,0.0,119.0,0.0,119.0,5168.8,0.0,610.0,1460.0,1328.0,1328.0
229,"Чусовская ул., д.4, к.2",1966.0,Мягкая,панельный,20.0,5.0,6.0,0.0,0.0,0.0,119.0,0.0,119.0,5142.2,0.0,607.0,1452.0,1320.0,1320.0
230,"Чусовская ул., д.4, к.3",1930.0,Штучные материалы,кирпич,45.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,16.0,608.65,0.0,92.0,538.0,430.5,430.5
231,"Чусовская ул., д.5",1971.0,Мягкая,кирпич,29.0,14.0,1.0,2.0,1.0,1.0,112.0,0.0,112.0,5456.6,22.6,857.0,650.0,586.0,586.0
232,"Чусовская ул., д.6, к.1",1968.0,Мягкая,панельный,20.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3683.1,0.0,518.0,468.0,423.8,423.8
233,"Чусовская ул., д.6, к.3",1984.0,Мягкая,панельный,16.0,16.0,1.0,2.0,1.0,1.0,0.0,108.0,108.0,5112.4,155.9,923.0,585.0,514.8,514.8
234,"Чусовская ул., д.7",1970.0,Мягкая,кирпич,30.0,14.0,1.0,2.0,1.0,1.0,112.0,0.0,112.0,5458.5,21.2,951.0,650.0,649.4,649.4
235,"Чусовская ул., д.8",1968.0,Мягкая,блочный,34.0,12.0,1.0,2.0,1.0,1.0,80.0,0.0,81.0,3472.4,1718.0,492.0,1506.0,858.4,420.6
236,"Чусовская ул., д.10, к.1",1967.0,Мягкая,панельный,20.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,4449.6,0.0,446.0,1261.0,1146.0,1146.0
237,"Чусовская ул., д.10, к.2",1967.0,Мягкая,панельный,20.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,4427.14,0.0,479.0,1255.0,1141.1,1141.1
238,"Чусовская ул., д.11, к.1",1967.0,Мягкая,панельный,22.0,9.0,8.0,8.0,0.0,8.0,283.0,0.0,283.0,13942.6,192.3,1584.0,2352.0,2068.5,2068.5
239,"Чусовская ул., д.11, к.2",1965.0,Штучные материалы,панельный,32.0,5.0,6.0,0.0,0.0,0.0,120.0,0.0,120.0,5104.6,0.0,547.0,1454.0,1321.8,1321.8
240,"Чусовская ул., д.11, к.5",1965.0,Мягкая,панельный,32.2,5.0,6.0,0.0,0.0,0.0,120.0,0.0,120.0,5138.8,0.0,607.0,1451.0,1318.0,1318.0
241,"Чусовская ул., д.11, к.6",1964.0,Мягкая,панельный,0.0,5.0,6.0,0.0,0.0,0.0,120.0,0.0,120.0,5127.9,0.0,547.0,1458.0,1325.0,1325.0
242,"Чусовская ул., д.11, к.7",1964.0,Мягкая,панельный,0.0,5.0,6.0,0.0,0.0,0.0,120.0,0.0,120.0,5126.0,0.0,553.0,1454.0,1321.7,1321.7
243,"Чусовская ул., д.13",1966.0,Мягкая,блочный,41.0,12.0,1.0,2.0,1.0,1.0,81.0,0.0,81.0,3451.9,1863.4,512.0,468.0,422.1,422.1
244,"Щелковское ш., д.9",1968.0,Мягкая,панельный,29.0,9.0,6.0,6.0,0.0,6.0,212.0,0.0,213.0,10450.9,1556.4,1167.0,2676.0,1558.0,1558.0
245,"Щелковское ш., д.11",1967.0,Мягкая,панельный,24.0,9.0,7.0,7.0,0.0,7.0,251.0,0.0,251.0,12528.5,0.0,1466.0,2067.0,1818.0,1818.0
246,"Щелковское ш., д.15",1966.0,Мягкая,панельный,23.0,9.0,7.0,7.0,0.0,7.0,251.0,0.0,251.0,12510.2,0.0,1458.0,2067.0,1854.0,1854.0
247,"Щелковское ш., д.17, к.1",1965.0,Мягкая,блочный,27.0,12.0,1.0,2.0,1.0,1.0,96.0,0.0,96.0,3614.0,0.0,526.0,479.0,429.0,429.0
248,"Щелковское ш., д.19",1966.0,Мягкая,панельный,27.0,9.0,7.0,7.0,0.0,7.0,246.0,0.0,247.0,12213.8,78.5,1457.0,2071.0,1853.0,1853.0
249,"Щелковское ш., д.21, к.1",1965.0,Мягкая,блочный,29.0,12.0,1.0,2.0,1.0,1.0,96.0,0.0,96.0,3606.0,0.0,587.0,477.0,427.0,427.0
250,"Щелковское ш., д.21, к.2",1990.0,Мягкая,блочный,19.0,22.0,1.0,4.0,2.0,2.0,0.0,171.0,171.0,9752.4,1579.7,3133.0,1042.0,427.0,427.0
251,"Щелковское ш., д.25/15",1994.0,Мягкая,панельный,7.0,17.0,3.0,6.0,3.0,3.0,0.0,199.0,199.0,10848.8,229.8,2235.0,1179.0,962.0,962.0
252,"Щелковское ш., д.27",1995.0,Мягкая,панельный,7.0,17.0,3.0,6.0,3.0,3.0,0.0,191.0,191.0,10543.9,675.4,1898.0,1331.0,1041.0,1041.0
253,"Щелковское ш., д.31",1962.0,Мягкая,панельный,33.0,5.0,3.0,0.0,0.0,0.0,60.0,0.0,60.0,2547.5,0.0,276.0,734.0,667.0,667.0
254,"Щелковское ш., д.33",1966.0,Мягкая,панельный,31.0,9.0,1.0,1.0,0.0,1.0,68.0,0.0,68.0,2471.9,975.6,389.0,1023.0,813.0,813.0
255,"Щелковское ш., д.35, к.1",1966.0,Мягкая,кирпич,35.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3279.4,0.0,389.0,1012.0,925.0,925.0
256,"Щелковское ш., д.35, к.2",1965.0,Мягкая,кирпич,36.0,5.0,4.0,0.0,0.0,0.0,79.0,0.0,79.0,3390.8,0.0,389.0,1016.0,924.0,924.0
257,"Щелковское ш., д.37",1964.0,Мягкая,кирпич,33.0,5.0,4.0,0.0,0.0,0.0,78.0,0.0,78.0,3340.5,0.0,354.0,1018.0,926.0,926.0
258,"Щелковское ш., д.39",1964.0,Мягкая,кирпич,32.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3374.7,0.0,354.0,1025.0,926.0,926.0
259,"Щелковское ш., д.41",1966.0,Мягкая,панельный,33.0,5.0,4.0,0.0,0.0,0.0,79.0,0.0,80.0,3506.7,0.0,369.0,989.0,899.0,899.0
260,"Щелковское ш., д.43, к.1",1964.0,Мягкая,кирпич,34.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3376.1,0.0,380.0,1015.0,923.0,923.0
261,"Щелковское ш., д.43, к.2",1965.0,Мягкая,кирпич,32.0,5.0,4.0,0.0,0.0,0.0,79.0,0.0,79.0,3353.3,0.0,367.0,1010.0,918.0,918.0
262,"Щелковское ш., д.45",1965.0,Мягкая,блочный,40.0,9.0,1.0,1.0,0.0,1.0,68.0,0.0,68.0,2431.5,1073.6,343.0,1023.0,793.0,793.0
263,"Щелковское ш., д.47, к.1",1964.0,Мягкая,кирпич,17.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3384.2,0.0,354.0,1015.0,922.6,922.6
264,"Щелковское ш., д.47, к.2",1964.0,Мягкая,кирпич,16.0,5.0,4.0,0.0,0.0,0.0,79.0,0.0,79.0,3386.5,0.0,362.0,1015.0,922.8,922.8
265,"Щелковское ш., д.49",1966.0,Мягкая,блочный,20.0,5.0,4.0,0.0,0.0,0.0,110.0,0.0,110.0,3418.0,0.0,407.0,993.0,903.1,903.1
266,"Щелковское ш., д.51",1966.0,Мягкая,блочный,34.0,5.0,4.0,0.0,0.0,0.0,79.0,0.0,80.0,3477.1,0.0,366.0,992.0,901.6,901.6
267,"Щелковское ш., д.53",1965.0,Мягкая,блочный,36.0,5.0,4.0,0.0,0.0,0.0,110.0,0.0,110.0,3403.5,0.0,420.0,1005.0,913.4,913.4
268,"Щелковское ш., д.55",1964.0,Мягкая,блочный,26.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3427.4,0.0,365.0,1010.0,918.0,918.0
269,"Щелковское ш., д.57, к.1",1965.0,Мягкая,блочный,36.0,9.0,1.0,1.0,0.0,1.0,67.0,0.0,68.0,2400.7,1003.6,357.0,928.0,581.7,581.7
270,"Щелковское ш., д.57, к.2",1965.0,Мягкая,кирпич,14.0,5.0,2.0,0.0,0.0,2.0,0.0,179.0,179.0,3108.2,0.0,790.0,1107.0,1005.9,1005.9
271,"Щелковское ш., д.57, к.3",1967.0,Мягкая,кирпич,27.0,5.0,2.0,0.0,0.0,2.0,0.0,69.0,69.0,3376.2,29.4,631.0,1138.0,1000.9,1000.9
272,"Щелковское ш., д.59",2009.0,Мягкая,панельный,1.4,18.0,2.0,6.0,2.0,2.0,0.0,142.0,142.0,8092.1,0.0,1227.7,822.0,704.0,704.0
273,"Щелковское ш., д.61",2010.0,Мягкая,железобетон,1.4,22.0,5.0,14.0,5.0,5.0,0.0,436.0,436.0,26088.2,15513.5,5869.1,2768.0,2205.4,2205.4
274,"Щелковское ш., д.63",1966.0,Мягкая,блочный,11.0,5.0,4.0,0.0,0.0,0.0,80.0,0.0,80.0,3521.3,0.0,360.0,991.0,900.9,900.9
275,"Щелковское ш., д.69",1965.0,Мягкая,панельный,31.0,9.0,1.0,1.0,0.0,1.0,68.0,0.0,68.0,2384.0,976.8,384.0,959.0,578.1,578.1
276,"Щелковское ш., д.69, к.1",2010.0,Мягкая,блочный,0.7,24.0,2.0,6.0,2.0,2.0,0.0,184.0,184.0,9238.5,6780.7,2176.5,1089.0,688.6,601.2
277,"Щелковское ш., д.71",2021.0,Мягкая,монолит.,0.0,16.0,1.0,3.0,1.0,2.0,0.0,150.0,150.0,5108.3,479.9,1578.6,980.0,699.7,0.0
278,"Щелковское ш., д.77, к.1",1968.0,Мягкая,панельный,22.0,9.0,8.0,8.0,0.0,1.0,284.0,0.0,285.0,14023.2,100.9,1580.0,2352.0,2070.6,2070.6
279,"Щелковское ш., д.77, к.4",1979.0,Мягкая,панельный,16.0,9.0,4.0,4.0,0.0,4.0,141.0,0.0,141.0,6827.6,127.4,766.0,1133.0,1030.2,0.0
280,"Щелковское ш., д.79, к.1",1971.0,Мягкая,блочный,28.0,9.0,14.0,14.0,0.0,14.0,489.0,0.0,489.0,24486.8,3337.3,2623.0,6595.0,3739.0,3739.0
281,"Щелковское ш., д.79, к.2",1967.0,Мягкая,кирпич,17.0,9.0,5.0,5.0,0.0,5.0,180.0,0.0,180.0,7870.1,0.0,988.0,1351.0,1228.4,1228.4
282,"Щелковское ш., д.81",1973.0,Мягкая,блочный,26.6,16.0,1.0,2.0,1.0,1.0,0.0,110.0,110.0,5258.2,867.1,923.0,1552.0,1369.8,1369.8
283,"Щелковское ш., д.85, к.1",1970.0,Мягкая,панельный,33.0,9.0,7.0,7.0,0.0,7.0,250.0,0.0,251.0,12697.7,583.4,1602.0,2287.0,1806.0,0.0
284,"Щелковское ш., д.85, к.2",1969.0,Мягкая,панельный,20.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,4493.3,0.0,497.0,468.0,1141.9,1141.9
285,"Щелковское ш., д.85, к.3",1969.0,Мягкая,блочный,26.0,12.0,1.0,2.0,1.0,1.0,84.0,0.0,84.0,3650.9,0.0,481.0,406.0,406.0,406.0
286,"Щелковское ш., д.85, к.4",1969.0,Мягкая,панельный,32.0,5.0,5.0,0.0,0.0,0.0,100.0,0.0,100.0,4495.7,0.0,449.0,1255.0,1141.1,1141.1
287,"Щелковское ш., д.85, к.5",1978.0,Мягкая,блочный,23.1,16.0,1.0,2.0,1.0,1.0,0.0,111.0,111.0,5371.4,0.0,930.0,614.0,489.0,489.0
288,"Щелковское ш., д.89/2",1978.0,Мягкая,панельный,32.0,16.0,1.0,2.0,1.0,1.0,0.0,110.0,110.0,6848.9,962.2,1219.0,1725.0,619.0,676.0
289,"Щелковское ш., д.91, к.1",1977.0,Мягкая,панельный,26.0,9.0,6.0,6.0,0.0,6.0,213.0,0.0,214.0,10410.0,928.9,1240.0,1673.0,1521.0,0.0
290,"Щелковское ш., д.91, к.2",1976.0,Мягкая,панельный,25.0,9.0,4.0,4.0,0.0,4.0,140.0,0.0,141.0,6929.9,438.1,802.0,1159.0,1040.0,0.0
291,"Щелковское ш., д.91, к.3",1976.0,Мягкая,панельный,5.0,9.0,6.0,6.0,0.0,6.0,215.0,0.0,215.0,10140.7,0.0,1251.0,1712.0,1543.0,0.0
292,"Щелковское ш., д.93",2001.0,Мягкая,панельный,7.0,14.0,3.0,6.0,3.0,3.0,0.0,138.0,138.0,7370.8,46.8,620.0,936.0,771.0,771.0
293,"Щелковское ш., д.95",1992.0,Мягкая,панельный,11.0,22.0,2.0,6.0,2.0,2.0,0.0,168.0,168.0,9786.3,416.8,2001.5,759.0,690.0,690.0
294,"Щелковское ш., д.97",1996.0,Мягкая,панельный,9.0,22.0,2.0,6.0,2.0,2.0,0.0,167.0,167.0,9830.0,426.5,1990.2,882.0,728.0,728.0
Итого,,579950.0,Мягкая,кирпич,7192.2,2796.0,1243.0,979.0,181.0,1216.0,33240.0,10923.0,44549.0,2085272.19,130382.5,281426.5,404639.8,327910.1,313125.7
